epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,54.618,1.77746,4.06157,1.26501,0.00619,0.25095,0.0315,0.01643,1.70241,4.05075,1.09956,0.00024543,0.00024543,0.00024543
2,108.697,1.93975,2.99038,1.22396,0.52818,0.04352,0.16187,0.07463,1.85182,3.03967,1.16976,0.000475202,0.000475202,0.000475202
3,161.478,1.88408,2.47244,1.2213,0.3186,0.25082,0.21745,0.10958,1.90527,2.57339,1.23436,0.000679777,0.000679777,0.000679777
4,215.929,1.83046,2.18881,1.21371,0.32207,0.30913,0.25563,0.12548,1.87155,2.4341,1.25216,0.000774013,0.000774013,0.000774013
5,270.103,1.83607,2.1119,1.20819,0.33217,0.29465,0.27013,0.13883,1.85975,2.54455,1.27123,0.000729018,0.000729018,0.000729018
6,324.3,1.77518,1.93816,1.19676,0.3603,0.3783,0.32239,0.15313,1.78636,2.09231,1.224,0.000684022,0.000684022,0.000684022
7,379.83,1.7907,1.90067,1.17305,0.4488,0.44077,0.42758,0.22727,1.76179,1.78867,1.17802,0.000639027,0.000639027,0.000639027
8,435.02,1.73805,1.78376,1.17534,0.44504,0.44046,0.41153,0.21554,1.77119,1.83687,1.16153,0.000594031,0.000594031,0.000594031
9,489.264,1.71659,1.68414,1.19244,0.60384,0.3844,0.44741,0.23272,1.74004,1.64793,1.14248,0.000549036,0.000549036,0.000549036
10,541.989,1.64136,1.63161,1.15708,0.5471,0.4964,0.49735,0.25564,1.75644,1.66316,1.17602,0.00050404,0.00050404,0.00050404
11,595.679,1.60609,1.6384,1.13852,0.52148,0.46747,0.4731,0.25074,1.72923,1.72392,1.16607,0.000459045,0.000459045,0.000459045
12,647.884,1.54761,1.49663,1.12357,0.7075,0.44108,0.52727,0.27322,1.67493,1.56458,1.1521,0.000414049,0.000414049,0.000414049
13,699.423,1.51205,1.423,1.1058,0.57085,0.47203,0.4982,0.26154,1.67287,1.62716,1.15621,0.000369054,0.000369054,0.000369054
14,750.546,1.53326,1.39223,1.10596,0.66799,0.4951,0.5361,0.29256,1.65785,1.52493,1.14978,0.000324058,0.000324058,0.000324058
15,801.668,1.51982,1.35743,1.09832,0.66724,0.50308,0.5577,0.3002,1.67493,1.46777,1.14976,0.000279063,0.000279063,0.000279063
16,852.766,1.50097,1.34659,1.09775,0.64776,0.50609,0.56307,0.29772,1.66874,1.42593,1.14561,0.000234068,0.000234068,0.000234068
17,907.761,1.47927,1.32526,1.0856,0.69027,0.50286,0.57035,0.30642,1.64443,1.4075,1.13146,0.000189072,0.000189072,0.000189072
18,966.638,1.45115,1.27033,1.0769,0.70813,0.49169,0.57871,0.31455,1.62728,1.37938,1.12932,0.000144077,0.000144077,0.000144077
19,1020.65,1.45239,1.2526,1.07793,0.62756,0.51323,0.57673,0.31576,1.61665,1.38259,1.12365,9.9081e-05,9.9081e-05,9.9081e-05
20,1075.12,1.43639,1.21761,1.05994,0.69142,0.51189,0.57659,0.31505,1.61058,1.37902,1.11837,5.40855e-05,5.40855e-05,5.40855e-05
